strain	accession	date	country	state
MT370870.1	PV08469	2020-03-18	USA	NY
MT370869.1	PV08462	2020-03-18	USA	NY
MT370868.1	PV08485	2020-03-17	USA	NY
MT370866.1	PV08135	2020-03-17	USA	NY
MT370865.1	PV08453	2020-03-17	USA	NY
MT370864.1	PV08495	2020-03-18	USA	NY
MT370863.1	PV08471	2020-03-18	USA	NY
MT370862.1	PV08412	2020-03-16	USA	NY
MT370861.1	PV08109	2020-03-17	USA	NY
MT370860.1	PV08434	2020-03-18	USA	NY
MT370859.1	PV08403	2020-03-17	USA	NY
MT370858.1	PV08468	2020-03-18	USA	NY
MT370857.1	PV08148	2020-03-14	USA	NY
MT370856.1	PV08445	2020-03-18	USA	NY
MT370854.1	PV08127	2020-03-14	USA	NY
MT370853.1	PV08494	2020-03-17	USA	NY
MT370852.1	PV08137	2020-03-17	USA	NY
MT370851.1	PV09000	2020-03-18	USA	NY
MT370850.1	PV08500	2020-03-17	USA	NY
MT370849.1	PV08146	2020-03-17	USA	NY
MT370848.1	PV08441	2020-03-18	USA	NY
MT370846.1	PV08401	2020-03-16	USA	NY
MT370845.1	PV08492	2020-03-18	USA	NY
MT370844.1	PV08463	2020-03-18	USA	NY
MT370843.1	PV08121	2020-03-17	USA	NY
MT370842.1	PV08100	2020-03-04	USA	NY
MT370841.1	PV08490	2020-03-17	USA	NY
MT370839.1	PV08124	2020-03-14	USA	NY
MT370838.1	PV08456	2020-03-17	USA	NY
MT370837.1	PV08486	2020-03-18	USA	NY
MT370836.1	PV08436	2020-03-18	USA	NY
MT370835.1	PV08426	2020-03-18	USA	NY
MT370834.1	PV08478	2020-03-18	USA	NY
MT370833.1	PV08432	2020-03-18	USA	NY
MT370831.1	PV08464	2020-03-18	USA	NY
MT291835.2	IMEBJ05	2020-01-27	CHN	BE
MT358637.1	GBRC001	2020-04-05	IND	RA
MT291836.1	IMEBJ07	2020-01-29	CHN	BE
MT291834.1	IMEBJ04	2020-01-28	CHN	BE
MT291833.1	IMEBJ03	2020-01-28	CHN	BE
MT291832.1	IMEBJ02	2020-01-25	CHN	BE
MT291831.1	IMEBJ01	2020-01-24	CHN	BE
MT291830.1	IMEWH05	2019-12-30	CHN	WU
MT291829.1	IMEWH04	2019-12-30	CHN	WU
MT291828.1	IMEWH03	2019-12-30	CHN	WU
MT291827.1	IMEWH02	2019-12-30	CHN	WU
MT291826.1	IMEWH01	2019-12-30	CHN	WU
MT300186.2	U200173	2020-04-02	USA	NC
MT281577.1	FY00002	2020-03-10	CHN	FU
MT292575.1	Val016	2020-03-10	ESP	VA
MT292574.1	Val015	2020-03-02	ESP	VA
MT292573.1	Val014	2020-03-09	ESP	VA
MT292572.1	Val011	2020-03-10	ESP	VA
MT292571.1	Val012	2020-03-09	ESP	VA
MT292570.1	Val017	2020-03-10	ESP	VA
MT292569.1	Val013	2020-03-09	ESP	VA
MT259231.1	YB12504	2020-01-25	CHN	WU
MT259230.1	YB12506	2020-01-25	CHN	WU
MT259229.1	YB12602	2020-01-26	CHN	WU
MT259228.1	YB12605	2020-01-26	CHN	WU
MT259227.1	YB12611	2020-01-26	CHN	WU
MT259226.1	OS00052	2020-01-10	CHN	WU
MT198652.2	Val0003	2020-03-05	ESP	VA
MT240479.1	Gilg01	2020-03-04	PAK	GI
MT233523.1	Val0008	2020-03-04	ESP	VA
MT233522.1	Val0007	2020-03-02	ESP	VA
MT233519.1	Val0005	2020-02-27	ESP	VA
MN985325.1	WA0001	2020-01-19	USA	WA
MT188341.1	MDH001	2020-03-05	USA	MI
MT188340.1	MDH002	2020-03-07	USA	MI
MT188339.1	MDH003	2020-03-09	USA	MI
MT019533.1	WH0005	2020-01-01	CHN	WU
